afcd_code,name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fibre_g_per_100g
F002112,"Cake, chocolate, homemade, uniced",372.8,7.9,19.4,41.3,2.9
F002111,"Cake, chocolate, homemade, iced",372.8,6.6,18.0,46.4,2.6
F002150,"Cake, fruit, homemade, uniced",307.4,3.8,10.0,49.4,2.8
F002159,"Cake, lamington, unfilled",294.7,4.7,9.4,48.0,2.4
F002163,"Cake, mud, dark chocolate, commercial, chocolate ganache icing",353.7,5.1,15.6,48.7,2.6
F002165,"Cake, mud, dark chocolate, homemade, uniced",456.3,5.6,34.6,32.5,0.5
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing",461.3,5.2,34.1,35.5,0.6
F002169,"Cake, plain butter cake, commercial, uniced",355.2,8.2,15.2,46.9,1.3
F002168,"Cake, plain butter cake, commercial, iced",371.7,5.0,16.1,52.7,1.4
F002171,"Cake, plain butter cake, homemade, uniced",380.5,6.7,16.3,52.5,0.9
F002170,"Cake, plain butter cake, homemade, iced",375.0,5.4,15.2,55.2,0.7
F002178,"Cake, sponge, plain, commercial, uniced, unfilled",327.4,7.5,8.2,56.5,1.2
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream",364.7,6.7,12.2,58.0,1.2
F002088,"Cake or cupcake, sponge, plain, commercial, iced, unfilled",357.8,5.0,11.0,61.6,0.7
F005877,"Muffin, cake-style, berry, commercial",336.5,5.2,15.6,44.4,1.9
F005882,"Muffin, cake-style, chocolate chip, commercial",374.5,6.4,17.7,48.1,1.4
F003573,"Doughnut, dusted with cinnamon & sugar",378.3,6.6,19.5,43.9,2.0
F003574,"Doughnut, iced",362.6,6.7,15.9,48.2,1.7
F003575,"Doughnut, jam filled, sugar coated",366.9,6.0,17.6,46.2,1.9
F006298,"Pancake, plain, homemade",221.6,7.4,7.6,30.3,0.8
F006701,"Pikelet, plain, homemade",277.2,7.5,5.9,47.9,1.7
F006700,"Pikelet or pancake, sweet, commercial",218.0,5.7,4.3,38.4,2.1
F007507,"Pudding, chocolate, homemade",184.3,3.6,2.6,37.0,1.1
F007512,"Pudding, plum, steamed or boiled, homemade",334.1,4.3,11.1,54.1,2.4
F007529,"Pudding, sticky date, homemade",352.3,3.0,16.8,48.5,1.6
F008173,"Scone, plain, commercial",334.4,7.9,8.5,55.2,2.1
F008174,"Scone, plain, homemade",323.4,8.0,9.5,50.7,1.4
F008172,"Scone, fruit, commercial",327.2,6.4,6.6,59.9,2.5
F008176,"Scone, pumpkin, homemade",291.3,7.4,7.4,47.9,1.7
F000061,"Amaranth, grain, whole, uncooked",365.0,15.2,6.4,55.6,11.1
F000379,"Barley, pearl, uncooked",340.3,9.9,3.1,60.6,13.1
F000378,"Barley, pearl, boiled, no added fat or salt",141.0,4.1,1.3,25.1,5.4
F001919,"Buckwheat groats, uncooked",326.0,12.8,3.2,58.0,5.0
F001918,"Buckwheat groats, cooked in water, no added salt",69.3,2.7,0.7,12.3,1.1
F001929,"Bulgur, uncooked",342.7,10.3,2.0,66.1,7.8
F001928,"Bulgur, soaked in water, no added fat or salt",180.7,5.4,1.3,34.4,4.1
F007729,"Sago, dry, uncooked",350.9,0.2,0.2,85.5,0.4
F007728,"Sago, cooked in water, no added salt",55.2,0.0,0.0,13.5,0.1
F003230,"Cornmeal (polenta), uncooked",339.6,8.5,1.7,70.0,3.0
F003227,"Cornmeal (polenta), boiled, no added fat or salt",108.0,2.7,0.5,22.3,1.0
F003239,"Couscous, uncooked",364.0,13.8,0.2,73.6,4.2
F003235,"Couscous, boiled, no added fat or salt",161.8,6.1,0.1,32.7,1.9
F005692,"Millet, uncooked",354.4,10.2,3.5,67.4,3.7
F005690,"Millet, boiled, no added fat or salt",116.4,3.3,1.1,22.1,1.2
F005279,"Maize, grits, uncooked",349.2,8.1,1.3,73.3,2.7
F006134,"Oat bran, unprocessed, uncooked",364.5,16.7,9.3,45.0,16.7
F006136,"Oats, hulled, uncooked",379.8,12.5,9.8,55.5,8.6
F006143,"Oats, rolled, uncooked",373.8,12.2,9.5,54.5,9.5
F006141,"Oats, rolled, mixed with sugar or honey & other flavours, uncooked",389.3,8.3,7.5,69.1,7.5
F007502,"Psyllium, uncooked",197.4,3.0,1.3,1.0,88.7
